Timestamp,GSR_Value,PPG_Value
2024-12-18 16:10:44,35110,1849
2024-12-18 16:10:44,35110,1848
2024-12-18 16:10:45,35111,1847
2024-12-18 16:10:45,35111,1848
2024-12-18 16:10:45,35110,1847
2024-12-18 16:10:45,35110,1848
2024-12-18 16:10:46,35110,1849
2024-12-18 16:10:46,35111,1850
2024-12-18 16:10:46,35110,1849
2024-12-18 16:10:47,35110,1852
2024-12-18 16:10:47,35110,1853
2024-12-18 16:10:47,35110,1855
2024-12-18 16:10:47,35110,1856
2024-12-18 16:10:47,35114,1860
2024-12-18 16:10:48,35111,1864
2024-12-18 16:10:48,35110,1866
2024-12-18 16:10:48,35110,1869
2024-12-18 16:10:48,35109,1871
2024-12-18 16:10:48,35108,1873
2024-12-18 16:10:49,35109,1876
2024-12-18 16:10:49,35109,1881
2024-12-18 16:10:49,35108,1884
2024-12-18 16:10:49,35108,1889
2024-12-18 16:10:50,35108,1893
2024-12-18 16:10:50,35109,1899
2024-12-18 16:10:51,35109,1902
2024-12-18 16:10:51,35108,1906
2024-12-18 16:10:51,35109,1909
2024-12-18 16:10:52,35109,1915
2024-12-18 16:10:52,35109,1918
2024-12-18 16:10:52,35108,1922
2024-12-18 16:10:52,35108,1926
2024-12-18 16:10:53,35109,1930
2024-12-18 16:10:53,35108,1932
2024-12-18 16:10:53,35108,1935
2024-12-18 16:10:54,35108,1940
2024-12-18 16:10:54,35108,1944
2024-12-18 16:10:54,35108,1948
2024-12-18 16:10:55,35108,1951
2024-12-18 16:10:55,35110,1957
2024-12-18 16:10:55,35109,1957
2024-12-18 16:10:55,35108,1959
2024-12-18 16:10:55,35107,1961
2024-12-18 16:10:56,35107,1964
2024-12-18 16:10:56,35106,1965
2024-12-18 16:10:56,35107,1967
2024-12-18 16:10:56,35106,1969
2024-12-18 16:10:56,35107,1971
2024-12-18 16:10:56,35106,1973
2024-12-18 16:10:56,35106,1974
2024-12-18 16:10:56,35106,1975
2024-12-18 16:10:56,35106,1976
2024-12-18 16:10:56,35106,1978
2024-12-18 16:10:56,35107,1979
2024-12-18 16:10:56,35107,1979
2024-12-18 16:10:56,35106,1979
2024-12-18 16:10:56,35106,1980
2024-12-18 16:10:56,35106,1980
2024-12-18 16:10:56,35106,1979
2024-12-18 16:10:56,35106,1980
2024-12-18 16:10:56,35106,1981
2024-12-18 16:10:56,35106,1980
2024-12-18 16:10:56,35106,1980
2024-12-18 16:10:56,35106,1980
2024-12-18 16:10:56,35106,1978
2024-12-18 16:10:56,35111,1982
2024-12-18 16:10:56,35108,1979
2024-12-18 16:10:56,35106,1979
2024-12-18 16:10:56,35105,1979
2024-12-18 16:10:56,35105,1979
2024-12-18 16:10:56,35104,1979
2024-12-18 16:10:56,35104,1978
2024-12-18 16:10:56,35105,1977
2024-12-18 16:10:56,35104,1976
2024-12-18 16:10:56,35104,1977
2024-12-18 16:10:56,35105,1978
2024-12-18 16:10:56,35104,1976
2024-12-18 16:10:56,35104,1976
2024-12-18 16:10:56,35104,1976
2024-12-18 16:10:56,35105,1976
2024-12-18 16:10:56,35105,1976
2024-12-18 16:10:56,35104,1975
2024-12-18 16:10:56,35104,1975
2024-12-18 16:10:56,35104,1974
2024-12-18 16:10:56,35104,1975
2024-12-18 16:10:56,35104,1974
2024-12-18 16:10:56,35103,1973
2024-12-18 16:10:56,35104,1972
2024-12-18 16:10:56,35104,1971
2024-12-18 16:10:56,35104,1970
2024-12-18 16:10:56,35104,1969
2024-12-18 16:10:56,35108,1971
2024-12-18 16:10:56,35105,1970
2024-12-18 16:10:56,35104,1968
2024-12-18 16:10:56,35103,1966
2024-12-18 16:10:56,35103,1963
2024-12-18 16:10:56,35102,1962
2024-12-18 16:10:56,35102,1958
2024-12-18 16:10:56,35102,1956
2024-12-18 16:10:56,35102,1954
2024-12-18 16:10:56,35102,1953
2024-12-18 16:10:56,35102,1951
2024-12-18 16:10:56,35102,1950
2024-12-18 16:10:56,35102,1948
2024-12-18 16:10:56,35102,1946
2024-12-18 16:10:56,35102,1945
2024-12-18 16:10:56,35102,1944
2024-12-18 16:10:56,35102,1943
2024-12-18 16:10:56,35102,1942
2024-12-18 16:10:56,35102,1942
2024-12-18 16:10:56,35102,1940
2024-12-18 16:10:56,35101,1939
2024-12-18 16:10:56,35101,1939
2024-12-18 16:10:56,35102,1937
2024-12-18 16:10:56,35101,1938
2024-12-18 16:10:57,35101,1935
2024-12-18 16:10:57,35101,1935
2024-12-18 16:10:57,35106,1934
2024-12-18 16:10:57,35103,1932
2024-12-18 16:10:57,35101,1929
2024-12-18 16:10:57,35100,1928
2024-12-18 16:10:57,35101,1926
2024-12-18 16:10:57,35100,1923
2024-12-18 16:10:57,35100,1921
2024-12-18 16:10:57,35099,1919
2024-12-18 16:10:57,35100,1916
2024-12-18 16:10:57,35100,1914
2024-12-18 16:10:57,35100,1912
2024-12-18 16:10:57,35100,1908
2024-12-18 16:10:57,35100,1907
2024-12-18 16:10:57,35100,1905
2024-12-18 16:10:57,35100,1902
2024-12-18 16:10:57,35100,1899
2024-12-18 16:10:57,35099,1898
2024-12-18 16:10:57,35100,1896
2024-12-18 16:10:57,35100,1895
2024-12-18 16:10:57,35100,1894
2024-12-18 16:10:57,35099,1893
2024-12-18 16:10:57,35100,1894
2024-12-18 16:10:57,35100,1894
2024-12-18 16:10:57,35100,1894
2024-12-18 16:10:57,35099,1892
2024-12-18 16:10:57,35099,1893
2024-12-18 16:10:57,35106,1893
2024-12-18 16:10:57,35101,1894
2024-12-18 16:10:57,35099,1893
2024-12-18 16:10:57,35099,1894
2024-12-18 16:10:57,35099,1894
2024-12-18 16:10:57,35098,1894
2024-12-18 16:10:57,35098,1895
2024-12-18 16:10:57,35098,1896
2024-12-18 16:10:57,35098,1896
2024-12-18 16:10:57,35098,1895
2024-12-18 16:10:57,35098,1895
2024-12-18 16:10:57,35098,1894
2024-12-18 16:10:57,35098,1895
2024-12-18 16:10:57,35098,1895
2024-12-18 16:10:57,35098,1896
2024-12-18 16:10:57,35098,1895
2024-12-18 16:10:57,35097,1896
2024-12-18 16:10:57,35098,1895
2024-12-18 16:10:57,35098,1897
2024-12-18 16:10:57,35097,1897
2024-12-18 16:10:57,35098,1897
2024-12-18 16:10:57,35098,1897
2024-12-18 16:10:57,35097,1897
2024-12-18 16:10:57,35098,1896
2024-12-18 16:10:57,35097,1896
2024-12-18 16:10:57,35097,1896
2024-12-18 16:10:57,35100,1898
2024-12-18 16:10:57,35099,1898
2024-12-18 16:10:57,35097,1896
2024-12-18 16:10:57,35097,1896
2024-12-18 16:10:57,35098,1895
2024-12-18 16:10:57,35096,1895
2024-12-18 16:10:57,35096,1894
2024-12-18 16:10:57,35095,1894
2024-12-18 16:10:57,35096,1894
2024-12-18 16:10:57,35096,1895
2024-12-18 16:10:57,35096,1895
2024-12-18 16:10:57,35096,1894
2024-12-18 16:10:57,35096,1896
2024-12-18 16:10:57,35096,1898
2024-12-18 16:10:57,35096,1900
2024-12-18 16:10:57,35096,1901
2024-12-18 16:10:57,35096,1904
2024-12-18 16:10:57,35096,1906
2024-12-18 16:10:57,35096,1906
2024-12-18 16:10:57,35096,1910
2024-12-18 16:10:57,35096,1910
2024-12-18 16:10:57,35096,1912
2024-12-18 16:10:57,35096,1912
2024-12-18 16:10:57,35096,1914
2024-12-18 16:10:57,35095,1914
2024-12-18 16:10:57,35096,1915
2024-12-18 16:10:57,35099,1917
2024-12-18 16:10:57,35096,1918
2024-12-18 16:10:57,35095,1917
2024-12-18 16:10:57,35095,1916
2024-12-18 16:10:57,35096,1916
2024-12-18 16:10:57,35094,1914
2024-12-18 16:10:57,35094,1914
2024-12-18 16:10:57,35094,1912
2024-12-18 16:10:57,35094,1912
2024-12-18 16:10:57,35094,1911
2024-12-18 16:10:57,35094,1911
2024-12-18 16:10:57,35094,1909
2024-12-18 16:10:57,35094,1910
2024-12-18 16:10:57,35094,1908
2024-12-18 16:10:57,35094,1908
2024-12-18 16:10:57,35094,1908
2024-12-18 16:10:57,35094,1908
2024-12-18 16:10:57,35094,1909
2024-12-18 16:10:57,35093,1907
2024-12-18 16:10:57,35093,1909
2024-12-18 16:10:57,35094,1908
2024-12-18 16:10:57,35094,1909
2024-12-18 16:10:57,35094,1908
2024-12-18 16:10:57,35093,1908
2024-12-18 16:10:57,35094,1907
2024-12-18 16:10:57,35094,1906
2024-12-18 16:10:57,35095,1906
2024-12-18 16:10:57,35095,1905
2024-12-18 16:10:57,35093,1904
2024-12-18 16:10:57,35094,1900
2024-12-18 16:10:57,35093,1900
2024-12-18 16:10:57,35092,1898
2024-12-18 16:10:57,35092,1897
2024-12-18 16:10:57,35092,1895
2024-12-18 16:10:57,35092,1895
2024-12-18 16:10:57,35091,1894
2024-12-18 16:10:57,35091,1893
2024-12-18 16:10:57,35092,1894
2024-12-18 16:10:57,35092,1892
2024-12-18 16:10:57,35092,1891
2024-12-18 16:10:57,35092,1891
2024-12-18 16:10:57,35091,1891
2024-12-18 16:10:57,35092,1891
2024-12-18 16:10:57,35092,1891
2024-12-18 16:10:57,35091,1891
2024-12-18 16:10:57,35092,1891
2024-12-18 16:10:57,35092,1892
2024-12-18 16:10:57,35092,1891
2024-12-18 16:10:57,35092,1891
2024-12-18 16:10:57,35091,1890
2024-12-18 16:10:57,35092,1891
2024-12-18 16:10:57,35092,1891
2024-12-18 16:10:57,35094,1894
2024-12-18 16:10:57,35093,1895
2024-12-18 16:10:57,35091,1896
2024-12-18 16:10:57,35091,1897
2024-12-18 16:10:57,35091,1899
2024-12-18 16:10:57,35090,1899
2024-12-18 16:10:57,35089,1902
2024-12-18 16:10:57,35090,1904
2024-12-18 16:10:57,35090,1905
2024-12-18 16:10:57,35089,1907
2024-12-18 16:10:57,35089,1909
2024-12-18 16:10:57,35090,1911
2024-12-18 16:10:57,35090,1911
2024-12-18 16:10:57,35090,1913
2024-12-18 16:10:57,35090,1913
2024-12-18 16:10:57,35090,1914
2024-12-18 16:10:57,35090,1913
2024-12-18 16:10:57,35090,1914
2024-12-18 16:10:57,35090,1913
2024-12-18 16:10:57,35090,1914
2024-12-18 16:10:57,35090,1913
2024-12-18 16:10:57,35090,1913
2024-12-18 16:10:57,35089,1912
2024-12-18 16:10:57,35089,1912
2024-12-18 16:10:57,35089,1912
2024-12-18 16:10:57,35090,1912
2024-12-18 16:10:57,35089,1910
2024-12-18 16:10:57,35089,1911
2024-12-18 16:10:57,35090,1910
2024-12-18 16:10:57,35089,1908
2024-12-18 16:10:57,35089,1908
