Timestamp,GSR_Value,PPG_Value
2024-12-18 19:31:48,687,1918
2024-12-18 19:31:48,687,1918
2024-12-18 19:31:48,687,1918
2024-12-18 19:31:49,687,1916
2024-12-18 19:31:49,687,1916
2024-12-18 19:31:49,687,1916
2024-12-18 19:31:50,687,1916
2024-12-18 19:31:50,687,1916
2024-12-18 19:31:50,687,1916
2024-12-18 19:31:51,687,1916
2024-12-18 19:31:51,687,1918
2024-12-18 19:31:51,687,1918
2024-12-18 19:31:51,687,1918
2024-12-18 19:31:51,17132,1920
2024-12-18 19:31:51,17132,1919
2024-12-18 19:31:51,17132,1921
2024-12-18 19:31:51,17132,1922
2024-12-18 19:31:51,17132,1922
2024-12-18 19:31:51,17132,1924
2024-12-18 19:31:51,17132,1925
2024-12-18 19:31:51,17132,1924
2024-12-18 19:31:51,17132,1925
2024-12-18 19:31:51,17132,1926
2024-12-18 19:31:51,17132,1926
2024-12-18 19:31:51,17132,1927
2024-12-18 19:31:51,17132,1926
2024-12-18 19:31:51,17132,1927
2024-12-18 19:31:51,17132,1928
2024-12-18 19:31:51,17132,1929
2024-12-18 19:31:51,17132,1929
2024-12-18 19:31:51,17132,1929
2024-12-18 19:31:51,17132,1930
2024-12-18 19:31:51,17132,1929
2024-12-18 19:31:51,17132,1930
2024-12-18 19:31:51,17132,1929
2024-12-18 19:31:51,17132,1927
2024-12-18 19:31:51,17132,1929
2024-12-18 19:31:51,17132,1928
2024-12-18 19:31:51,17132,1927
2024-12-18 19:31:51,17132,1926
2024-12-18 19:31:51,17132,1925
2024-12-18 19:31:51,17132,1925
2024-12-18 19:31:51,17132,1923
2024-12-18 19:31:51,17132,1921
2024-12-18 19:31:51,17132,1921
2024-12-18 19:31:51,17132,1919
2024-12-18 19:31:51,17132,1919
2024-12-18 19:31:51,17132,1918
2024-12-18 19:31:51,17132,1918
2024-12-18 19:31:51,17132,1917
2024-12-18 19:31:51,17132,1917
2024-12-18 19:31:51,17132,1915
2024-12-18 19:31:52,17132,1916
2024-12-18 19:31:52,17132,1915
2024-12-18 19:31:52,34580,1914
2024-12-18 19:31:52,34259,1914
2024-12-18 19:31:53,34259,1914
2024-12-18 19:31:53,34259,1913
2024-12-18 19:31:53,34259,1912
2024-12-18 19:31:53,34259,1911
2024-12-18 19:31:54,34259,1910
2024-12-18 19:31:54,34259,1909
2024-12-18 19:31:54,34259,1908
2024-12-18 19:31:55,34259,1906
2024-12-18 19:31:55,34259,1906
2024-12-18 19:31:55,34259,1904
2024-12-18 19:31:55,34259,1904
2024-12-18 19:31:56,34259,1903
2024-12-18 19:31:56,34259,1902
2024-12-18 19:31:56,34259,1901
2024-12-18 19:31:56,34259,1899
2024-12-18 19:31:56,34259,1900
2024-12-18 19:31:56,34259,1899
2024-12-18 19:31:56,34259,1899
2024-12-18 19:31:56,34259,1898
2024-12-18 19:31:56,34259,1898
2024-12-18 19:31:56,34259,1898
2024-12-18 19:31:56,34259,1897
2024-12-18 19:31:56,34259,1898
2024-12-18 19:31:56,34259,1898
2024-12-18 19:31:56,34259,1898
2024-12-18 19:31:56,34259,1898
2024-12-18 19:31:56,34259,1897
2024-12-18 19:31:56,34259,1899
2024-12-18 19:31:56,34259,1897
2024-12-18 19:31:56,34259,1898
2024-12-18 19:31:56,34259,1897
2024-12-18 19:31:56,34259,1899
2024-12-18 19:31:56,34259,1899
2024-12-18 19:31:56,34259,1899
2024-12-18 19:31:56,34259,1900
2024-12-18 19:31:56,34259,1901
2024-12-18 19:31:56,34259,1901
2024-12-18 19:31:56,34259,1902
2024-12-18 19:31:56,34259,1902
2024-12-18 19:31:56,34259,1903
2024-12-18 19:31:56,51693,1903
2024-12-18 19:31:56,51900,1904
2024-12-18 19:31:56,51500,1904
2024-12-18 19:31:56,51073,1906
2024-12-18 19:31:56,50736,1907
2024-12-18 19:31:56,50643,1907
2024-12-18 19:31:56,50686,1907
2024-12-18 19:31:56,51150,1908
2024-12-18 19:31:56,51527,1908
2024-12-18 19:31:56,51834,1909
2024-12-18 19:31:56,51777,1910
2024-12-18 19:31:56,51295,1909
2024-12-18 19:31:56,50908,1910
2024-12-18 19:31:56,50662,1910
2024-12-18 19:31:56,50598,1910
2024-12-18 19:31:56,50925,1910
2024-12-18 19:31:57,51346,1909
2024-12-18 19:31:57,51686,1908
2024-12-18 19:31:57,51916,1906
2024-12-18 19:31:58,51543,1907
2024-12-18 19:31:58,51108,1905
2024-12-18 19:31:58,50761,1904
2024-12-18 19:31:59,50650,1904
2024-12-18 19:31:59,50673,1903
2024-12-18 19:31:59,51136,1901
2024-12-18 19:32:00,51516,1901
2024-12-18 19:32:00,51824,1901
2024-12-18 19:32:00,51810,1900
2024-12-18 19:32:01,51324,1900
2024-12-18 19:32:01,50932,1900
2024-12-18 19:32:01,50662,1899
2024-12-18 19:32:01,50594,1901
2024-12-18 19:32:02,50881,1901
2024-12-18 19:32:02,51311,1902
2024-12-18 19:32:02,51657,1903
2024-12-18 19:32:03,51905,1904
2024-12-18 19:32:03,51557,1905
2024-12-18 19:32:03,51119,1907
2024-12-18 19:32:03,50766,1909
2024-12-18 19:32:04,50625,1908
2024-12-18 19:32:04,50625,1912
2024-12-18 19:32:04,51086,1913
2024-12-18 19:32:04,51475,1917
2024-12-18 19:32:05,51791,1918
2024-12-18 19:32:05,51819,1920
2024-12-18 19:32:05,51335,1921
2024-12-18 19:32:06,50941,1923
2024-12-18 19:32:06,50658,1925
2024-12-18 19:32:06,50593,1927
2024-12-18 19:32:07,50845,1929
2024-12-18 19:32:07,51281,1930
2024-12-18 19:32:08,51633,1931
2024-12-18 19:32:08,51899,1933
2024-12-18 19:32:08,51584,1934
2024-12-18 19:32:08,51141,1935
2024-12-18 19:32:09,50784,1936
2024-12-18 19:32:09,50628,1938
2024-12-18 19:32:10,50616,1940
2024-12-18 19:32:10,51068,1941
2024-12-18 19:32:10,51461,1944
2024-12-18 19:32:10,51780,1944
2024-12-18 19:32:11,51849,1946
2024-12-18 19:32:11,51369,1947
2024-12-18 19:32:11,50968,1949
2024-12-18 19:32:12,50677,1949
2024-12-18 19:32:12,50617,1951
2024-12-18 19:32:12,50830,1953
2024-12-18 19:32:13,51269,1955
2024-12-18 19:32:13,51624,1956
