Timestamp,EMG_CH1,EMG_CH2
2024-12-19 09:37:00,24342,-201239
2024-12-19 09:37:00,24184,-201395
2024-12-19 09:37:00,24452,-201394
2024-12-19 09:37:00,24485,-201309
2024-12-19 09:37:00,23748,-201085
2024-12-19 09:37:00,23843,-201187
2024-12-19 09:37:00,24039,-201339
2024-12-19 09:37:00,24181,-201436
2024-12-19 09:37:00,23828,-201643
2024-12-19 09:37:00,23666,-201857
2024-12-19 09:37:00,23403,-201754
2024-12-19 09:37:00,23845,-201717
2024-12-19 09:37:00,23524,-201769
2024-12-19 09:37:00,23471,-201846
2024-12-19 09:37:00,23348,-201879
2024-12-19 09:37:00,23605,-201966
2024-12-19 09:37:00,23124,-202030
2024-12-19 09:37:00,22776,-202171
2024-12-19 09:37:00,22901,-202372
2024-12-19 09:37:00,23035,-202371
2024-12-19 09:37:00,22978,-202288
2024-12-19 09:37:00,22356,-202212
2024-12-19 09:37:00,22024,-202264
2024-12-19 09:37:00,22112,-202371
2024-12-19 09:37:00,21890,-202452
2024-12-19 09:37:00,21602,-202697
2024-12-19 09:37:00,21651,-202830
2024-12-19 09:37:00,21903,-202929
2024-12-19 09:37:00,21993,-202926
2024-12-19 09:37:00,21756,-202879
2024-12-19 09:37:00,21034,-202889
2024-12-19 09:37:00,21261,-202914
2024-12-19 09:37:00,21501,-203064
2024-12-19 09:37:00,21220,-203272
2024-12-19 09:37:00,20644,-203372
2024-12-19 09:37:00,20518,-203432
2024-12-19 09:37:00,20493,-203424
2024-12-19 09:37:00,20794,-203401
2024-12-19 09:37:00,20365,-203381
2024-12-19 09:37:00,19853,-203518
2024-12-19 09:37:00,19671,-203403
2024-12-19 09:37:00,19935,-203432
2024-12-19 09:37:00,19952,-203739
2024-12-19 09:37:00,19514,-203807
2024-12-19 09:37:00,19229,-203759
2024-12-19 09:37:00,19414,-203804
2024-12-19 09:37:00,19064,-203596
2024-12-19 09:37:00,18609,-203697
2024-12-19 09:37:00,18553,-203905
2024-12-19 09:37:00,18864,-203757
2024-12-19 09:37:00,19005,-203984
2024-12-19 09:37:00,18388,-204024
2024-12-19 09:37:00,18365,-204183
2024-12-19 09:37:00,18347,-204150
2024-12-19 09:37:00,18463,-204083
2024-12-19 09:37:00,17882,-204116
2024-12-19 09:37:00,17634,-204166
2024-12-19 09:37:00,17760,-204194
2024-12-19 09:37:00,18163,-204206
2024-12-19 09:37:00,17805,-204415
