Timestamp,ECG_CH1,ECG_CH2
2024-12-19 08:55:50,208484,15928
2024-12-19 08:55:50,209578,15956
2024-12-19 08:55:50,210063,15971
2024-12-19 08:55:50,209789,15988
2024-12-19 08:55:50,208691,15881
2024-12-19 08:55:50,207567,15899
2024-12-19 08:55:50,206687,15872
2024-12-19 08:55:50,207053,15927
2024-12-19 08:55:50,207952,15922
2024-12-19 08:55:50,208986,15906
2024-12-19 08:55:50,209723,15822
2024-12-19 08:55:50,209462,15845
2024-12-19 08:55:50,208766,15762
2024-12-19 08:55:50,207622,15774
2024-12-19 08:55:50,206825,15784
2024-12-19 08:55:50,206709,15822
2024-12-19 08:55:50,206994,15806
2024-12-19 08:55:50,208084,15781
2024-12-19 08:55:50,209258,15743
2024-12-19 08:55:50,209879,15765
2024-12-19 08:55:50,209685,15779
2024-12-19 08:55:50,208908,15784
2024-12-19 08:55:50,207926,15813
2024-12-19 08:55:50,206821,15799
2024-12-19 08:55:50,206801,15791
2024-12-19 08:55:50,207751,15793
2024-12-19 08:55:50,208908,15735
2024-12-19 08:55:50,209618,15673
2024-12-19 08:55:50,209503,15624
2024-12-19 08:55:50,209024,15658
2024-12-19 08:55:50,207982,15681
2024-12-19 08:55:50,207038,15726
2024-12-19 08:55:50,206803,15734
2024-12-19 08:55:50,207098,15703
2024-12-19 08:55:50,208333,15709
2024-12-19 08:55:50,208756,15725
2024-12-19 08:55:50,209553,15655
2024-12-19 08:55:50,209506,15661
2024-12-19 08:55:50,208934,15699
2024-12-19 08:55:50,207821,15623
2024-12-19 08:55:50,206870,15690
2024-12-19 08:55:50,206673,15747
2024-12-19 08:55:50,207476,15788
2024-12-19 08:55:50,209000,15859
2024-12-19 08:55:50,210538,15968
2024-12-19 08:55:50,211421,16238
2024-12-19 08:55:50,211529,16421
2024-12-19 08:55:50,211031,16759
2024-12-19 08:55:50,211289,17326
2024-12-19 08:55:50,212587,17956
2024-12-19 08:55:50,213199,18281
2024-12-19 08:55:50,214048,18497
2024-12-19 08:55:50,215033,18866
2024-12-19 08:55:50,214440,18793
2024-12-19 08:55:50,210249,17311
2024-12-19 08:55:50,208156,16410
2024-12-19 08:55:50,202349,14289
2024-12-19 08:55:50,198761,12944
2024-12-19 08:55:50,197518,11726
2024-12-19 08:55:50,195470,10373
2024-12-19 08:55:50,192665,9440
2024-12-19 08:55:50,191654,8591
2024-12-19 08:55:50,193623,8325
2024-12-19 08:55:50,193931,8084
2024-12-19 08:55:50,193573,7981
2024-12-19 08:55:50,194662,8175
2024-12-19 08:55:50,197173,8773
2024-12-19 08:55:50,200402,9204
2024-12-19 08:55:50,203494,9641
2024-12-19 08:55:50,205979,10431
2024-12-19 08:55:50,207684,11258
2024-12-19 08:55:50,208220,12142
2024-12-19 08:55:50,207638,12844
2024-12-19 08:55:50,207241,13507
2024-12-19 08:55:50,206938,14212
2024-12-19 08:55:50,207079,14468
2024-12-19 08:55:50,207348,14802
