Timestamp,ECG_CH1,ECG_CH2
2024-12-19 08:14:55,261788,-4615
2024-12-19 08:14:56,261309,-4727
2024-12-19 08:14:56,261291,-4735
2024-12-19 08:14:57,261321,-4839
2024-12-19 08:14:57,261243,-4990
2024-12-19 08:14:58,261289,-4999
2024-12-19 08:14:58,261328,-5104
2024-12-19 08:14:58,260948,-5061
2024-12-19 08:14:59,260412,-5090
2024-12-19 08:14:59,260217,-5120
2024-12-19 08:14:59,260343,-5076
2024-12-19 08:14:59,260382,-5128
2024-12-19 08:14:59,260609,-5058
2024-12-19 08:14:59,260875,-5089
2024-12-19 08:14:59,260924,-5171
2024-12-19 08:14:59,260697,-5239
2024-12-19 08:14:59,260321,-5187
2024-12-19 08:14:59,260029,-5226
2024-12-19 08:14:59,260014,-5221
2024-12-19 08:14:59,259996,-5208
2024-12-19 08:14:59,260166,-5256
2024-12-19 08:14:59,260418,-5277
2024-12-19 08:14:59,260694,-5306
2024-12-19 08:14:59,260693,-5279
2024-12-19 08:14:59,260532,-5409
2024-12-19 08:14:59,260156,-5407
2024-12-19 08:14:59,259952,-5457
2024-12-19 08:14:59,259898,-5212
2024-12-19 08:14:59,259870,-5225
2024-12-19 08:14:59,260106,-5347
2024-12-19 08:14:59,260468,-5349
2024-12-19 08:14:59,260714,-5336
2024-12-19 08:14:59,260498,-5416
2024-12-19 08:14:59,260038,-5390
2024-12-19 08:14:59,259988,-5398
2024-12-19 08:14:59,259966,-5431
2024-12-19 08:14:59,260006,-5339
2024-12-19 08:14:59,260134,-5386
2024-12-19 08:14:59,260363,-5435
2024-12-19 08:14:59,260523,-5501
2024-12-19 08:14:59,260736,-5491
2024-12-19 08:14:59,260583,-5389
2024-12-19 08:14:59,260275,-5339
2024-12-19 08:14:59,260224,-5284
2024-12-19 08:14:59,260111,-5401
2024-12-19 08:14:59,260197,-5386
2024-12-19 08:14:59,260359,-5493
2024-12-19 08:14:59,260624,-5492
2024-12-19 08:14:59,260901,-5506
2024-12-19 08:14:59,260799,-5477
2024-12-19 08:14:59,260544,-5527
2024-12-19 08:14:59,260254,-5601
2024-12-19 08:14:59,260313,-5588
2024-12-19 08:14:59,260263,-5599
2024-12-19 08:14:59,260398,-5597
2024-12-19 08:14:59,260576,-5586
2024-12-19 08:14:59,260708,-5520
2024-12-19 08:14:59,260861,-5556
2024-12-19 08:15:00,260728,-5624
2024-12-19 08:15:00,260258,-5606
2024-12-19 08:15:00,260105,-5651
2024-12-19 08:15:00,260214,-5581
2024-12-19 08:15:00,260292,-5598
2024-12-19 08:15:00,260553,-5599
2024-12-19 08:15:00,260707,-5534
2024-12-19 08:15:00,260894,-5559
2024-12-19 08:15:00,260840,-5676
2024-12-19 08:15:00,260544,-5635
2024-12-19 08:15:00,260459,-5657
2024-12-19 08:15:00,260293,-5627
2024-12-19 08:15:00,260269,-5618
2024-12-19 08:15:00,260410,-5616
2024-12-19 08:15:00,260602,-5604
2024-12-19 08:15:00,260957,-5584
2024-12-19 08:15:00,261122,-5578
2024-12-19 08:15:00,260918,-5639
2024-12-19 08:15:00,260536,-5701
2024-12-19 08:15:00,260269,-5648
2024-12-19 08:15:00,260251,-5722
2024-12-19 08:15:00,260345,-5720
2024-12-19 08:15:00,260391,-5796
2024-12-19 08:15:00,260585,-5745
2024-12-19 08:15:00,260843,-5753
2024-12-19 08:15:00,260819,-5707
2024-12-19 08:15:00,260701,-5725
2024-12-19 08:15:00,260296,-5711
2024-12-19 08:15:00,260107,-5828
2024-12-19 08:15:00,260080,-5790
2024-12-19 08:15:00,260359,-5766
2024-12-19 08:15:00,260483,-5777
2024-12-19 08:15:00,260656,-5848
2024-12-19 08:15:00,260886,-5722
2024-12-19 08:15:00,260743,-5832
2024-12-19 08:15:00,260312,-5896
2024-12-19 08:15:00,260040,-5924
2024-12-19 08:15:00,260033,-5853
2024-12-19 08:15:00,260194,-5826
2024-12-19 08:15:00,260282,-5862
2024-12-19 08:15:00,260577,-5992
2024-12-19 08:15:00,260806,-6189
2024-12-19 08:15:00,260927,-6101
2024-12-19 08:15:00,260576,-5959
2024-12-19 08:15:00,260146,-5822
2024-12-19 08:15:00,260061,-5949
2024-12-19 08:15:00,260081,-5972
2024-12-19 08:15:00,260439,-5922
2024-12-19 08:15:00,260526,-5942
2024-12-19 08:15:00,260806,-5879
