Timestamp,ECG_CH1,ECG_CH2
2024-12-19 08:29:12,234758,-2925
2024-12-19 08:29:12,234911,-2908
2024-12-19 08:29:12,235015,-2849
2024-12-19 08:29:12,234996,-2952
2024-12-19 08:29:12,234857,-3017
2024-12-19 08:29:12,235092,-3244
2024-12-19 08:29:12,235279,-3066
2024-12-19 08:29:12,234738,-2947
2024-12-19 08:29:12,234626,-2949
2024-12-19 08:29:12,234626,-2986
2024-12-19 08:29:12,234701,-3033
2024-12-19 08:29:12,234881,-3008
2024-12-19 08:29:12,235031,-3056
2024-12-19 08:29:12,235381,-3137
2024-12-19 08:29:12,235336,-3197
2024-12-19 08:29:12,234931,-3204
2024-12-19 08:29:12,234289,-3016
2024-12-19 08:29:12,234322,-3140
2024-12-19 08:29:12,234457,-3169
2024-12-19 08:29:12,234617,-3159
2024-12-19 08:29:12,234646,-3167
2024-12-19 08:29:12,234663,-3185
2024-12-19 08:29:12,234923,-3191
2024-12-19 08:29:12,235018,-3189
2024-12-19 08:29:12,234528,-3220
2024-12-19 08:29:12,234369,-3187
2024-12-19 08:29:12,234498,-3203
2024-12-19 08:29:12,234657,-3246
2024-12-19 08:29:12,234701,-3292
2024-12-19 08:29:12,234723,-3126
2024-12-19 08:29:12,234928,-3225
2024-12-19 08:29:12,235023,-3240
2024-12-19 08:29:12,234698,-3281
2024-12-19 08:29:12,234296,-3294
2024-12-19 08:29:12,234353,-3277
2024-12-19 08:29:12,234376,-3261
2024-12-19 08:29:12,234547,-3316
2024-12-19 08:29:12,234689,-3414
2024-12-19 08:29:12,234525,-3457
2024-12-19 08:29:12,234889,-3311
2024-12-19 08:29:12,235112,-3257
2024-12-19 08:29:12,234898,-3265
2024-12-19 08:29:12,234625,-3161
2024-12-19 08:29:12,234551,-3222
2024-12-19 08:29:12,234692,-3365
2024-12-19 08:29:12,234775,-3447
2024-12-19 08:29:12,234552,-3355
2024-12-19 08:29:12,234748,-3375
2024-12-19 08:29:12,234938,-3413
2024-12-19 08:29:12,234842,-3382
2024-12-19 08:29:12,234450,-3316
2024-12-19 08:29:12,234394,-3375
2024-12-19 08:29:12,234431,-3384
2024-12-19 08:29:12,234538,-3386
2024-12-19 08:29:12,234546,-3414
2024-12-19 08:29:12,234536,-3533
2024-12-19 08:29:12,234949,-3471
2024-12-19 08:29:12,235086,-3433
2024-12-19 08:29:12,234861,-3336
2024-12-19 08:29:12,234716,-3337
2024-12-19 08:29:12,234673,-3481
2024-12-19 08:29:12,234653,-3492
2024-12-19 08:29:12,234598,-3306
2024-12-19 08:29:12,234814,-3391
2024-12-19 08:29:12,235053,-3433
2024-12-19 08:29:12,235211,-3439
2024-12-19 08:29:12,235125,-3375
2024-12-19 08:29:12,234556,-3393
2024-12-19 08:29:12,234494,-3444
2024-12-19 08:29:12,234419,-3403
2024-12-19 08:29:12,234628,-3558
2024-12-19 08:29:12,234789,-3552
2024-12-19 08:29:12,234807,-3565
2024-12-19 08:29:12,235119,-3538
2024-12-19 08:29:12,235073,-3511
2024-12-19 08:29:12,234762,-3437
2024-12-19 08:29:12,234210,-3449
2024-12-19 08:29:12,234138,-3505
2024-12-19 08:29:12,234076,-3565
2024-12-19 08:29:12,234080,-3652
2024-12-19 08:29:12,234258,-3741
2024-12-19 08:29:12,234443,-3666
2024-12-19 08:29:12,234812,-3504
2024-12-19 08:29:12,234748,-3349
2024-12-19 08:29:12,234303,-3317
2024-12-19 08:29:12,234337,-3247
2024-12-19 08:29:12,234451,-3297
2024-12-19 08:29:12,234552,-3350
2024-12-19 08:29:12,234694,-3323
2024-12-19 08:29:12,234356,-3495
2024-12-19 08:29:12,234774,-3519
2024-12-19 08:29:12,234970,-3496
2024-12-19 08:29:12,234348,-3586
2024-12-19 08:29:12,234062,-3636
2024-12-19 08:29:12,234202,-3630
2024-12-19 08:29:12,234684,-3616
2024-12-19 08:29:12,234948,-3646
2024-12-19 08:29:12,235164,-3520
2024-12-19 08:29:12,235313,-3564
2024-12-19 08:29:12,235559,-3597
2024-12-19 08:29:12,235345,-3637
2024-12-19 08:29:12,234796,-3567
2024-12-19 08:29:12,234822,-3446
2024-12-19 08:29:12,234713,-3448
2024-12-19 08:29:12,234728,-3658
2024-12-19 08:29:12,234711,-3707
2024-12-19 08:29:12,234973,-3711
2024-12-19 08:29:12,235292,-3540
2024-12-19 08:29:12,230919,-6766
2024-12-19 08:29:12,231930,-6257
2024-12-19 08:29:12,233178,-5555
2024-12-19 08:29:12,234241,-5192
2024-12-19 08:29:12,234573,-4910
2024-12-19 08:29:12,234131,-4644
2024-12-19 08:29:12,234227,-4507
2024-12-19 08:29:12,234410,-4204
2024-12-19 08:29:12,234868,-3971
2024-12-19 08:29:12,235359,-3836
2024-12-19 08:29:12,235645,-3666
2024-12-19 08:29:12,236111,-3656
2024-12-19 08:29:12,236112,-3722
2024-12-19 08:29:12,235560,-3811
2024-12-19 08:29:12,235370,-3699
2024-12-19 08:29:12,235514,-3567
2024-12-19 08:29:12,235554,-3657
2024-12-19 08:29:12,235649,-3638
2024-12-19 08:29:12,235956,-3590
2024-12-19 08:29:12,236170,-3587
2024-12-19 08:29:12,236394,-3546
2024-12-19 08:29:12,236378,-3620
2024-12-19 08:29:12,235913,-3594
2024-12-19 08:29:12,235962,-3639
2024-12-19 08:29:12,236190,-3698
2024-12-19 08:29:12,236343,-3689
2024-12-19 08:29:12,236319,-3817
2024-12-19 08:29:12,236480,-3496
2024-12-19 08:29:12,237221,-3217
2024-12-19 08:29:12,237251,-3222
2024-12-19 08:29:12,237003,-3378
2024-12-19 08:29:12,236769,-3407
2024-12-19 08:29:12,236873,-3388
2024-12-19 08:29:12,237092,-3335
2024-12-19 08:29:12,237243,-3311
2024-12-19 08:29:12,237403,-3454
2024-12-19 08:29:12,237414,-3599
2024-12-19 08:29:12,237634,-3556
2024-12-19 08:29:12,237638,-3507
2024-12-19 08:29:12,237231,-3399
2024-12-19 08:29:12,237366,-3371
2024-12-19 08:29:12,237361,-3425
2024-12-19 08:29:12,237671,-3324
2024-12-19 08:29:12,237836,-3319
2024-12-19 08:29:12,238006,-3249
2024-12-19 08:29:12,238400,-3237
2024-12-19 08:29:12,238526,-3243
2024-12-19 08:29:12,238111,-3257
2024-12-19 08:29:12,237683,-3216
2024-12-19 08:29:12,237979,-3179
2024-12-19 08:29:12,238096,-3208
2024-12-19 08:29:12,238246,-3159
2024-12-19 08:29:12,238323,-3152
2024-12-19 08:29:12,238825,-3029
2024-12-19 08:29:12,239099,-2982
2024-12-19 08:29:12,239029,-2995
2024-12-19 08:29:12,238652,-2977
2024-12-19 08:29:12,238623,-3013
2024-12-19 08:29:12,238675,-2992
2024-12-19 08:29:12,238793,-2931
